1,41,92,2015-06-03 03:00:22,2014-01-17 00:11:09,2012-09-08 09:58:36
2,21,87,2016-12-19 04:07:52,2014-09-27 15:02:35,0000-00-00 00-00-00
3,73,54,2013-05-31 12:06:46,2015-01-08 06:52:36,2015-07-24 16:32:51
4,96,14,2013-07-29 01:12:11,2014-05-18 15:03:52,0000-00-00 00-00-00
5,89,86,2014-01-21 20:57:36,2016-03-31 09:53:19,0000-00-00 00-00-00
6,68,68,2013-12-01 10:49:20,2014-03-05 07:29:30,0000-00-00 00-00-00
7,93,86,2016-12-04 02:44:18,2016-08-24 02:26:04,2015-03-25 09:33:44
8,4,79,2012-03-29 09:33:12,2012-01-01 16:08:55,2013-03-23 19:39:14
9,33,55,2014-12-22 22:33:46,2013-04-10 07:19:33,2012-01-30 11:18:24
10,5,71,2012-11-16 22:40:33,2016-04-02 10:25:53,2012-01-14 12:24:54
11,100,23,2015-11-17 10:38:24,2015-10-17 23:18:07,2016-07-01 05:41:26
12,13,17,2012-07-08 12:42:29,2015-10-24 08:46:24,2014-01-28 09:30:22
13,44,26,2014-10-03 00:59:41,2012-07-14 06:07:12,2014-02-14 17:58:24
14,100,78,2012-06-01 12:06:11,2016-07-17 12:17:27,2012-03-08 19:01:22
15,19,22,2015-09-10 05:25:29,2016-01-12 14:48:34,2015-06-03 16:43:11
16,39,27,2016-04-27 08:40:50,2016-04-07 10:40:33,2014-12-11 16:24:14
17,9,60,2015-07-12 11:18:04,2016-10-27 10:40:16,2012-06-22 13:22:08
18,97,13,2017-03-15 15:25:58,2015-06-28 00:40:10,2016-12-14 12:09:25
19,67,22,2015-01-13 19:58:27,2012-05-25 16:38:26,2014-12-03 05:27:48
20,22,8,2015-07-30 12:48:52,2014-04-17 03:35:20,2016-09-25 11:28:09
21,63,10,2015-01-30 06:19:48,2013-10-03 10:36:52,2015-09-22 23:51:35
22,53,53,2017-03-20 05:53:54,2013-06-25 08:13:06,2014-08-01 19:43:43
23,10,30,2015-07-30 06:14:06,2014-02-10 21:05:17,2014-11-11 15:46:18
24,69,43,2014-09-29 05:26:41,2016-10-03 06:34:19,2015-04-21 00:51:25
25,68,98,2012-07-12 23:50:43,2012-12-13 13:38:25,2016-01-31 23:19:01
26,14,34,2015-11-10 12:40:14,2017-01-28 11:36:58,2015-07-29 12:14:51
27,81,13,2015-11-03 12:39:58,2013-02-21 18:41:03,2013-06-24 01:52:29
28,72,64,2012-08-01 10:13:06,2013-07-08 20:13:49,2016-01-31 08:48:21
29,77,70,2012-04-19 20:03:10,2016-12-10 19:57:27,0000-00-00 00-00-00
30,13,46,2013-04-15 07:45:22,2013-01-19 05:33:26,2013-06-20 10:13:46
31,70,12,2012-09-06 20:17:55,2012-12-06 06:42:45,2016-11-22 06:57:29
32,39,81,2016-12-18 15:43:38,2013-01-15 16:53:13,2014-08-17 11:59:20
33,58,37,2015-05-26 18:42:01,2017-03-05 08:46:15,0000-00-00 00-00-00
34,59,27,2014-09-05 11:15:55,2012-11-20 06:55:37,2012-12-30 15:48:36
35,16,29,2013-05-08 01:34:37,2015-08-08 16:58:03,0000-00-00 00-00-00
36,76,16,2016-12-01 20:14:51,2016-11-10 07:12:43,2013-12-29 04:07:00
37,78,31,2013-12-03 06:08:01,2015-05-12 22:06:19,0000-00-00 00-00-00
38,32,44,2016-05-24 15:07:54,2013-01-29 06:49:01,0000-00-00 00-00-00
39,43,61,2016-11-10 05:59:25,2013-05-27 04:18:07,2014-10-23 00:26:00
40,63,38,2012-11-29 13:24:58,2013-11-01 18:26:29,2017-04-13 09:50:44
41,55,27,2016-08-22 07:48:42,2016-06-11 06:45:18,2013-10-31 15:13:58
42,30,34,2014-02-09 23:59:56,2015-04-09 13:17:31,0000-00-00 00-00-00
43,37,6,2012-02-01 03:16:13,2016-10-12 08:54:11,2015-06-18 05:43:00
44,87,57,2012-08-20 04:49:08,2014-11-18 20:13:02,2017-01-10 13:22:33
45,99,76,2014-02-19 14:21:21,2015-03-31 21:06:25,0000-00-00 00-00-00
46,30,97,2013-07-10 15:53:23,2013-01-07 03:19:18,0000-00-00 00-00-00
47,36,1,2016-03-18 04:09:38,2016-12-29 15:20:52,2012-03-14 13:56:01
48,83,88,2012-07-23 13:20:31,2015-01-26 17:43:45,0000-00-00 00-00-00
49,42,82,2012-04-13 01:31:19,2015-04-04 21:35:05,2014-11-26 08:11:10
50,82,65,2012-09-10 23:15:04,2015-12-01 00:47:27,2012-12-14 14:48:08
51,94,49,2014-04-23 04:10:54,2013-02-25 00:13:26,2016-08-10 21:25:51
52,90,42,2013-11-07 01:55:20,2016-09-16 19:31:05,2016-06-04 09:23:20
53,89,31,2012-03-01 10:14:26,2013-12-30 09:08:04,2012-05-04 08:19:03
54,78,74,2013-02-04 16:36:09,2016-05-15 10:25:19,2015-01-18 20:21:41
55,82,23,2016-08-23 05:22:25,2014-07-20 19:43:35,2015-12-15 07:27:32
56,28,73,2014-04-06 02:41:56,2013-04-30 09:46:47,2015-02-24 11:16:50
57,49,72,2016-12-13 19:05:35,2015-05-27 22:05:08,2017-03-31 20:06:57
58,13,22,2013-04-24 13:02:38,2013-01-07 20:51:53,0000-00-00 00-00-00
59,54,89,2014-05-24 01:57:43,2016-09-01 14:09:19,0000-00-00 00-00-00
60,52,47,2012-09-29 15:47:17,2012-12-16 20:16:51,2014-11-19 05:15:50
61,34,28,2012-09-20 16:14:25,2016-08-31 06:39:48,0000-00-00 00-00-00
62,77,88,2013-04-04 21:17:10,2012-06-15 11:23:07,2014-11-06 23:02:13
63,40,23,2017-04-02 10:57:26,2012-12-17 00:39:01,2015-05-14 07:00:08
64,73,17,2016-05-17 10:22:59,2015-10-23 01:03:32,2016-09-14 09:26:33
65,58,60,2015-01-17 17:03:50,2012-10-31 17:31:23,2013-11-05 12:42:23
66,26,51,2015-10-19 22:49:30,2013-06-17 03:56:56,2016-10-26 15:29:17
67,34,33,2013-02-04 04:54:20,2012-01-03 14:12:40,2015-05-14 11:43:19
68,46,71,2014-08-13 03:36:34,2016-03-04 00:18:21,0000-00-00 00-00-00
69,4,79,2014-01-11 08:35:33,2016-09-23 06:30:21,2012-05-18 12:27:15
70,56,38,2016-01-19 09:52:45,2015-07-21 11:42:16,2017-03-29 10:22:25
71,51,76,2012-08-01 01:43:54,2015-04-18 06:21:57,2015-01-18 06:13:55
72,64,96,2013-10-01 10:04:42,2014-04-03 09:02:47,2016-11-09 06:26:53
73,75,63,2016-11-14 13:28:37,2013-12-07 11:28:57,0000-00-00 00-00-00
74,94,70,2014-04-24 21:45:37,2015-02-13 08:52:58,2012-04-05 00:08:25
75,85,87,2012-11-07 03:33:33,2014-04-10 12:57:46,2012-11-16 23:39:08
76,93,58,2014-03-09 01:20:27,2012-06-27 23:22:15,2015-03-28 11:07:11
77,48,17,2016-11-21 21:48:02,2013-02-11 22:18:53,2016-03-29 23:29:40
78,69,88,2012-10-07 08:51:34,2013-05-17 18:52:27,2013-05-07 04:37:47
79,56,65,2012-01-26 15:12:43,2014-10-18 16:53:00,2014-08-05 07:23:29
80,65,47,2014-10-23 01:50:28,2012-05-30 15:40:28,2017-02-16 03:40:53
81,66,88,2016-05-22 17:24:41,2015-11-16 21:41:20,2016-09-07 03:13:55
82,38,7,2016-02-15 16:08:37,2012-07-31 18:46:50,0000-00-00 00-00-00
83,65,19,2012-05-07 05:39:23,2016-08-20 03:50:58,2017-01-10 12:34:09
84,96,93,2014-01-08 20:23:48,2012-08-31 12:38:35,2014-12-23 16:13:03
85,66,64,2013-11-16 04:44:09,2017-01-24 18:19:15,2014-07-28 10:07:23
86,46,60,2013-08-13 12:01:19,2017-03-19 02:17:28,2014-12-14 13:02:45
87,68,45,2014-05-27 12:51:19,2013-02-17 01:35:21,2012-11-21 03:33:51
88,13,71,2014-08-20 01:49:31,2014-08-18 22:01:40,2016-03-30 11:49:40
89,19,19,2013-07-27 19:17:02,2012-12-23 14:51:05,2012-06-10 00:33:59
90,62,37,2012-09-25 07:48:48,2016-02-07 23:58:31,0000-00-00 00-00-00
91,63,40,2015-09-25 17:47:57,2012-12-10 15:24:45,0000-00-00 00-00-00
92,6,78,2016-04-30 09:24:57,2017-02-24 02:44:40,0000-00-00 00-00-00
93,5,71,2013-06-03 16:52:10,2016-11-15 07:42:55,2013-05-11 04:54:34
