1,1,30,1,author
2,2,84,1,author
3,3,75,1,author
4,4,57,1,author
5,5,35,1,author
6,6,53,1,author
7,7,66,1,author
8,8,15,1,author
9,9,51,1,author
10,10,5,1,author
11,10,45,2,author
12,10,38,3,author
13,11,16,1,author
14,12,67,1,author
15,13,66,1,author
16,14,35,1,author
17,15,68,1,author
18,16,46,1,author
19,17,10,1,author
20,18,77,1,author
21,19,47,1,author
22,20,41,1,author
23,21,27,1,author
24,22,54,1,author
25,23,57,1,author
26,24,25,1,author
27,25,8,1,author
28,26,53,1,author
29,27,70,1,author
30,28,19,1,author
31,29,18,1,author
32,30,72,1,author
33,31,10,1,author
34,32,86,1,author
35,33,56,1,author
36,34,61,1,author
37,35,3,1,author
38,36,78,1,author
39,37,48,1,author
40,38,85,1,author
41,39,9,1,author
42,40,83,1,author
43,41,69,1,author
44,42,37,1,author
45,43,3,1,author
46,44,80,1,author
47,45,64,1,author
48,46,1,1,author
49,47,78,1,author
50,48,29,1,author
51,49,55,1,author
52,50,59,1,author
53,51,2,1,author
54,52,53,1,author
55,53,44,1,author
56,54,81,1,author
57,55,68,1,author
58,56,30,1,author
59,57,6,1,author
60,58,39,1,author
61,59,17,1,author
62,60,36,1,author
63,61,71,1,author
64,62,23,1,author
65,63,44,1,author
66,64,20,1,author
67,65,82,1,author
68,66,80,1,author
69,67,21,1,author
70,68,41,1,author
71,69,1,1,author
72,70,46,1,author
73,71,35,1,author
74,72,67,1,author
75,73,84,1,author
76,74,80,1,author
77,75,30,1,author
78,76,49,1,author
79,77,73,1,author
80,78,10,1,author
81,79,28,1,author
82,80,27,1,author
83,81,48,1,author
84,82,85,1,author
85,83,22,1,author
86,84,42,1,author
87,85,80,1,author
88,86,25,1,author
89,87,71,1,author
90,88,9,1,author
91,89,5,1,author
92,90,73,1,author
93,91,83,1,author
94,92,77,1,author
95,93,65,1,author
96,94,48,1,author
97,95,53,1,author
98,96,40,1,author
99,97,24,1,author
100,98,24,1,author
101,99,28,1,author
102,100,76,1,author
